"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","MC.PA","369682861398","740.039","France"
"2","Hermès","RMS.PA","235091797222","2244.72","France"
"3","Inditex","IDEXY","153714065408","24.61","Spain"
"4","TJX Companies","TJX","126294261760","111.75","United States"
"5","Dior","CDI.PA","125511848344","695.7","France"
"6","Nike","NKE","109730463744","72.7","United States"
"7","Fast Retailing","9983.T","81862306936","264.798","Japan"
"8","Cintas","CTAS","76965773312","758.56","United States"
"9","Ross Stores","ROST","47868014592","143.5","United States"
"10","Adidas","ADS.DE","44146411514","247.251","Germany"
"11","Kering","KER.PA","42047939519","343.005","France"
"12","lululemon athletica","LULU","35029934080","280.235","Canada"
"13","H&amp;M","HM-B.ST","25474734770","15.8175","Sweden"
"14","Prada","1913.HK","17366080583","6.74194","Italy"
"15","Moncler","MONC.MI","16592661879","61.3827","Italy"
"16","Burlington Stores","BURL","15618222080","244.7","United States"
"17","Next plc","NXT.L","13853980701","115.484","United Kingdom"
"18","Ralph Lauren","RL","10357514240","165.31","United States"
"19","Tapestry","TPR","9473540096","41.23","United States"
"20","Gap Inc.","GPS","8495267840","22.65","United States"
"21","Abercrombie &amp; Fitch","ANF","8100700672","158.51","United States"
"22","JD Sports Fashion","JD.L","7843706664","1.51331","United Kingdom"
"23","LPP SA","LPP.WA","7720341206","4161.48","Poland"
"24","Levi Strauss","LEVI","7286230016","18.33","United States"
"25","PUMA","PUM.DE","7173308969","47.8715","Germany"
"26","Gildan","GIL","6659194368","39.39","Canada"
"27","Zalando","ZAL.DE","6605282735","25.3566","Germany"
"28","VF Corporation","VFC","6372327424","16.38","United States"
"29","Brunello Cucinelli","BC.MI","6340636429","93.2499","Italy"
"30","Bosideng","3998.HK","5756923639","0.513488","Hong Kong"
"31","Phillips-Van Heusen","PVH","5618177536","100.58","United States"
"32","Page Industries","PAGEIND.NS","5399147245","484.059","India"
"33","Columbia Sportswear","COLM","4589795840","77.63","United States"
"34","Urban Outfitters","URBN","4336524800","46.43","United States"
"35","Pepkor","PPH.JO","3964511000","1.07622","South Africa"
"36","Capri Holdings","CPRI","3928738304","33.68","United Kingdom"
"37","American Eagle Outfitters","AEO","3895206912","19.83","United States"
"38","Aritzia","ATZ.TO","3836497981","34.1739","Canada"
"39","Kontoor Brands","KTB","3821542912","68.45","United States"
"40","Aditya Birla Fashion and Retail","ABFRL.NS","3810485875","3.7716","India"
"41","Boot Barn Holdings","BOOT","3649001984","119.63","United States"
"42","UniFirst","UNF","3449007360","185.3","United States"
"43","Burberry","BRBY.L","3231346136","9.01141","United Kingdom"
"44","Topsports International","6110.HK","3088964455","0.485317","Hong Kong"
"45","Vedant Fashions","MANYAVAR.NS","3007868424","12.3844","India"
"46","Under Armour","UA","2890508544","6.55","United States"
"47","Ermenegildo Zegna","ZGN","2783447296","11.12","Italy"
"48","The Foschini Group","TFG.JO","2353421900","7.29938","South Africa"
"49","Carter's","CRI","2292477184","62.81","United States"
"50","Lojas Renner","LREN3.SA","2254046660","2.35749","Brazil"
"51","Buckle","BKE","1935168640","38.11","United States"
"52","F&amp;F Co","383220.KS","1905286134","46.024","South Korea"
"53","Hanesbrands","HBI","1898440320","5.4","United States"
"54","Savers Value Village","SVV","1886518016","11.66","United States"
"55","Fila","081660.KS","1770110553","29.3403","South Korea"
"56","Mavi Giyim Sanayi ve Ticaret","MAVI.IS","1556455820","3.91802","Turkey"
"57","Oxford Industries","OXM","1544909312","98.55","United States"
"58","Victoria's Secret &amp; Co","VSCO","1434441344","18.32","United States"
"59","Guess","GES","1231637888","23.01","United States"
"60","Revolve","RVLV","1215936512","17.17","United States"
"61","Canada Goose","GOOS","1182991232","12.2","Canada"
"62","Arvind","ARVIND.NS","1165909024","4.45398","India"
"63","G-III Apparel Group","GIII","1148990976","25.54","United States"
"64","FIGS","FIGS","1011154304","5.94","United States"
"65","Fenix Outdoor","FOI-B.ST","935828837","70.2168","Switzerland"
"66","Torrid","CURV","829582464","7.95","United States"
"67","PDS Multinational","PDSL.NS","804203123","6.10077","India"
"68","Gokaldas Exports","GOKEX.NS","765342716","10.7179","India"
"69","About You","YOU.DE","658910624","3.78334","Germany"
"70","Lux Industries","LUXIND.NS","651473252","21.664","India"
"71","Marimekko","MEKKO.HE","615748843","15.1769","Finland"
"72","Boohoo Group","BOO.L","562957271","0.443595","United Kingdom"
"73","ASOS","ASC.L","559573240","4.68913","United Kingdom"
"74","Lands' End","LE","534849312","17.03","United States"
"75","Stitch Fix","SFIX","517502432","4.23","United States"
"76","Thob Al Aseel Company","4012.SR","498425743","1.24606","Saudi Arabia"
"77","Kewal Kiran Clothing","KKCL.NS","494444729","8.00449","India"
"78","J.Jill","JILL","452407744","38.51","United States"
"79","Zumiez","ZUMZ","447253248","22.06","United States"
"80","TCNS Clothing","TCNSBRANDS.NS","416002204","6.57102","India"
"81","Interloop","ILP.PK","385741150","0.275193","Pakistan"
"82","Giordano","0709.HK","369674112","0.206164","Hong Kong"
"83","Dollar Industries","DOLLAR.NS","349400671","6.16052","India"
"84","MYT Netherlands Parent (Mytheresa)","MYTE","341258592","4.02","Germany"
"85","Eagle Nice","2368.HK","333067659","0.580075","Hong Kong"
"86","Superior Group of Companies","SGC","331220064","19.78","United States"
"87","Cantabil Retail India","CANTABIL.NS","283582502","3.37986","India"
"88","CALIDA Holding","CALN.SW","282662886","33.7587","Switzerland"
"89","Rupa Company","RUPA.NS","260494911","3.27565","India"
"90","Destination XL","DXLG","213141200","3.66","United States"
"91","ThredUp","TDUP","212794080","1.93","United States"
"92","Texwinca Holdings","0321.HK","180467473","0.128052","Hong Kong"
"93","Kitex Garments","KITEX.NS","172881872","2.59973","India"
"94","GEOX","GEO.MI","168936623","0.661949","Italy"
"95","a.k.a. Brands","AKA","167234160","15.95","United States"
"96","Lakeland Industries","LAKE","166998752","22.58","United States"
"97","Tillys","TLYS","160335456","5.33","United States"
"98","Monte Carlo Fashions","MONTECARLO.NS","157412886","7.58861","India"
"99","Björn Borg","BORG.ST","136558367","5.4301","Sweden"
"100","Duluth Holdings","DLTH","135002176","3.85","United States"
"101","Cato Fashion","CATO","106271416","5.17","United States"
"102","Allbirds","BIRD","102690840","0.6522","United States"
"103","The Children's Place","PLCE","96391696","7.585","United States"
"104","LightInTheBox Holding","LITB","82264320","0.74","Singapore"
"105","Lulu's Fashion Lounge","LVLU","73975152","1.79","United States"
"106","Rent the Runway","RENT","60367108","16.22","United States"
"107","Global Fashion Group","GFG.DE","51711190","0.231355","Luxembourg"
"108","Söktas Tekstil","SKTAS.IS","38612918","0.173932","Turkey"
"109","Grand Twins International Cambodia","GTI.KH","33081239","0.83","Cambodia"
"110","Wolford","WOL.VI","30409742","3.1791","Austria"
"111","Perfect Moment","PMNT","26454246","1.69","United Kingdom"
"112","Vince Holding","VNCE","17430044","1.39","United States"
"113","Kidpik","PIK","6577026","3.37","United States"
"114","MGO Global","MGOL","6283291","3.46","United States"
"115","Delta Apparel","DLA","4089667","0.58","United States"
"116","Express","EXPR","3109395","0.83","United States"
